simtime,current_action,reward,load,FM_state,packets_per_frame,QoE,frame_loss,last_mowdg,RTT,lastthreshold,quadraticsum_mowdg
18.6228,1,3.883,2.02703e+07,5,20,4.07421,0,0.000256889,0.00172588,2.63192e-05,2.94597e-07
18.7228,1,3.88349,2.02703e+07,5,20,4.07472,0,4.48889e-05,0.00161076,2.63528e-05,1.02601e-07
18.8228,1,3.88305,2.02703e+07,5,20,4.07426,0,-0.000300111,0.001559,2.6406e-05,2.75484e-07
18.9228,1,3.88213,2.02703e+07,5,20,4.0733,0,-4.71111e-05,0.00172704,2.64867e-05,6.31567e-07
19.0228,1,3.88123,2.02703e+07,5,20,4.07235,0,0.000207889,0.0015867,2.65788e-05,9.85959e-07
19.1228,1,3.88131,2.02703e+07,5,20,4.07243,0,-4.21111e-05,0.00180706,2.6699e-05,9.54717e-07
19.2228,1,3.86899,2.02703e+07,5,20,4.05947,0,-0.000129111,0.00208148,2.69743e-05,5.78356e-06
19.3228,1,3.88303,2.02703e+07,5,20,4.07425,0,0.000174889,0.00180506,2.7006e-05,2.79621e-07
19.4228,1,3.88179,2.02703e+07,5,20,4.07293,0,-0.000214111,0.00155831,2.71432e-05,7.68139e-07
19.5228,1,3.88232,2.02703e+07,5,20,4.0735,0,-9.51112e-05,0.00210799,2.72152e-05,5.5745e-07
19.6228,0,3.88078,1.98649e+07,4,20,4.0745,0,9.78888e-05,0.00175031,2.72527e-05,1.84131e-07
19.7228,0,3.87978,1.94676e+07,4,19,4.07345,0,-0.000388111,0.00240984,2.73552e-05,5.75266e-07
19.8228,0,3.86835,1.90782e+07,4,19,4.06142,0,-0.00044511,0.0017939,2.76415e-05,5.05282e-06
19.9228,0,3.88058,1.86967e+07,4,18,4.07429,0,4.78887e-05,0.00133924,2.77094e-05,2.62709e-07
20.0228,0,3.87903,1.83227e+07,4,18,4.07266,0,2.28889e-05,0.00149316,2.7789e-05,8.68148e-07
20.1228,0,3.8799,1.79563e+07,4,18,4.07358,0,-6.1111e-06,0.00182382,2.78547e-05,5.28264e-07
20.2228,0,3.88047,1.75972e+07,4,17,4.07418,0,2.98889e-05,0.00212524,2.79229e-05,3.04277e-07
20.3228,0,3.88081,1.72452e+07,4,17,4.07453,0,0.000111889,0.0019527,2.79666e-05,1.73657e-07
20.4228,0,3.87923,1.69003e+07,4,17,4.07287,0,-0.000372111,0.00174773,2.80832e-05,7.90161e-07
20.5228,0,3.88027,1.65623e+07,4,16,4.07397,0,0.000405889,0.00233498,2.81258e-05,3.8377e-07
20.6228,0,3.8791,1.62311e+07,4,16,4.07274,0,0.000131889,0.00177437,2.82565e-05,8.40127e-07
20.7228,0,3.87808,1.59064e+07,4,16,4.07167,0,-0.000624111,0.00180277,2.83788e-05,1.23825e-06
20.8228,0,3.87933,1.55883e+07,4,15,4.07298,0,-9.2111e-05,0.00149947,2.84826e-05,7.49922e-07
20.9228,0,3.87809,1.52765e+07,4,15,4.07168,0,-0.000536111,0.0019456,2.8614e-05,1.2352e-06
21.0228,0,3.87612,1.4971e+07,3,15,4.07223,0,7.88888e-06,0.00165835,2.87253e-05,1.02811e-06
21.1228,1,3.86984,1.4971e+07,3,15,4.06562,0,0.000510889,0.00200504,2.88854e-05,3.48856e-06
21.2228,1,3.83029,1.4971e+07,3,15,4.02399,0,-0.0013141,0.00170865,2.93963e-05,1.91073e-05
21.3228,1,3.87737,1.4971e+07,3,15,4.07355,0,1.38886e-05,0.00142549,2.94632e-05,5.38222e-07
21.4228,1,3.87786,1.4971e+07,3,15,4.07406,0,-0.000368111,0.00197099,2.95139e-05,3.49311e-07
21.5228,1,3.87851,1.4971e+07,3,15,4.07475,0,3.48888e-05,0.00158065,2.95478e-05,9.28265e-08
21.6228,1,3.87584,1.4971e+07,3,15,4.07193,0,7.0889e-05,0.00149937,2.96627e-05,1.13953e-06
21.7228,1,3.86782,1.4971e+07,3,15,4.0635,0,0.000159887,0.00196258,2.98703e-05,4.279e-06
21.8228,1,3.87812,1.4971e+07,3,15,4.07434,0,0.000303889,0.00183454,2.98976e-05,2.46447e-07
